9.592233937121636966e-01,9.576339881747091276e-01,9.608180839612486812e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
9.840382985327650323e-01,9.825720007629219488e-01,9.855089791721466375e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
9.887541187144834876e-01,9.872925805836353375e-01,9.902199904351984827e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
9.893043021534640991e-01,9.879362960137325622e-01,9.906761021325427574e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
9.894244312349304016e-01,9.881270265115391638e-01,9.907252474064158765e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
9.894249361438017809e-01,9.881747091359908142e-01,9.906783307041445719e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
9.894249361438017809e-01,9.881747091359908142e-01,9.906783307041445719e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
9.894249361438017809e-01,9.881747091359908142e-01,9.906783307041445719e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
9.894249361438017809e-01,9.881747091359908142e-01,9.906783307041445719e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
9.894249361438017809e-01,9.881747091359908142e-01,9.906783307041445719e-01,8.737224807854003794e-01,8.794821666984551367e-01,8.680377438407417268e-01
